"station","tag","sample_id","depth","division","genus","asv","sum_reads","repl"
"EMB262_6_28_MUC","EMB262_6_28_MUC_41","PA165E",41,"Ochrophyta","Skeletonema",0,0,0
"EMB262_6_28_MUC","EMB262_6_28_MUC_42","PA161E",42,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_6_28_MUC","EMB262_6_28_MUC_42","PA161E",42,"Ochrophyta","Skeletonema",1,5.75,1
"EMB262_6_28_MUC","EMB262_6_28_MUC_43","PA171E",43,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_6_28_MUC","EMB262_6_28_MUC_43","PA171E",43,"Ochrophyta","Skeletonema",1,2.75,1
"EMB262_6_28_MUC","EMB262_6_28_MUC_44","PA149E",44,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_6_28_MUC","EMB262_6_28_MUC_44","PA149E",44,"Ochrophyta","Skeletonema",1,1,1
"EMB262_6_28_MUC","EMB262_6_28_MUC_45","PA156E",45,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_6_28_MUC","EMB262_6_28_MUC_45","PA156E",45,"Ochrophyta","Skeletonema",1,3.5,1
"EMB262_6_28_MUC","EMB262_6_28_MUC_46","PA189E",46,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_6_28_MUC","EMB262_6_28_MUC_46","PA189E",46,"Ochrophyta","Skeletonema",1,2.5,2
"EMB262_6_28_MUC","EMB262_6_28_MUC_47","PA169E",47,"Dinoflagellata","Apocalathium",1,0.25,1
"EMB262_6_28_MUC","EMB262_6_28_MUC_47","PA169E",47,"Ochrophyta","Skeletonema",1,0.25,1
"EMB262_6_28_MUC","EMB262_6_28_MUC_48","PA160E",48,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_6_28_MUC","EMB262_6_28_MUC_48","PA160E",48,"Ochrophyta","Skeletonema",1,7.75,2
"EMB262_6_28_MUC","EMB262_6_28_MUC_49","PA167E",49,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_6_28_MUC","EMB262_6_28_MUC_49","PA167E",49,"Ochrophyta","Skeletonema",1,1.75,1
