"station","age","depth","sample_weight","tag","sample_id","kingdom","Interest","repl.pa","sum.reads","norm.reads"
"EMB262_13_8_MUC",1957,40,848,"EMB262_13_8_MUC_8","PA168E","Eukaryota","Diatom",9,553,326.061320754717
"EMB262_13_8_MUC",1957,40,848,"EMB262_13_8_MUC_8","PA168E","Eukaryota","Dinoflagellata",81,16838.25,9928.21344339623
"EMB262_13_8_MUC",1961,38,882,"EMB262_13_8_MUC_9","PA111E","Eukaryota","Diatom",1,2.25,1.27551020408163
"EMB262_13_8_MUC",1961,38,882,"EMB262_13_8_MUC_9","PA111E","Eukaryota","Dinoflagellata",8,5259.5,2981.57596371882
"EMB262_13_8_MUC",1970,36,864,"EMB262_13_8_MUC_10","PA120E","Eukaryota","Diatom",13,5655.5,3272.8587962963
"EMB262_13_8_MUC",1970,36,864,"EMB262_13_8_MUC_10","PA120E","Eukaryota","Dinoflagellata",68,20626.75,11936.7766203704
"EMB262_13_8_MUC",1972,34,819,"EMB262_13_8_MUC_11","PA180E","Eukaryota","Diatom",27,1011,617.216117216117
"EMB262_13_8_MUC",1972,34,819,"EMB262_13_8_MUC_11","PA180E","Eukaryota","Dinoflagellata",406,13563,8280.21978021978
"EMB262_13_8_MUC",1975,32,840,"EMB262_13_8_MUC_12","PA130E","Eukaryota","Diatom",57,7315.5,4354.46428571429
"EMB262_13_8_MUC",1975,32,840,"EMB262_13_8_MUC_12","PA130E","Eukaryota","Dinoflagellata",243,9793.5,5829.46428571429
"EMB262_13_8_MUC",1978,30,807,"EMB262_13_8_MUC_13","PA166E","Eukaryota","Diatom",30,2524.5,1564.12639405204
"EMB262_13_8_MUC",1978,30,807,"EMB262_13_8_MUC_13","PA166E","Eukaryota","Dinoflagellata",299,12608,7811.64807930607
"EMB262_13_8_MUC",1981,28,847,"EMB262_13_8_MUC_14","PA099E","Eukaryota","Diatom",55,11594.5,6844.45100354191
"EMB262_13_8_MUC",1981,28,847,"EMB262_13_8_MUC_14","PA099E","Eukaryota","Dinoflagellata",194,5250.25,3099.32113341204
"EMB262_13_8_MUC",1984,26,766,"EMB262_13_8_MUC_15","PA141E","Eukaryota","Diatom",6,53,34.5953002610966
"EMB262_13_8_MUC",1984,26,766,"EMB262_13_8_MUC_15","PA141E","Eukaryota","Dinoflagellata",43,847,552.872062663185
"EMB262_13_8_MUC",1985,24,707,"EMB262_13_8_MUC_16","PA125E","Eukaryota","Diatom",66,9556.75,6758.66336633663
